Player,Team,GP,Poss,Poss,Freq,PPP,PTS,PTS,FGM,FGM,FGA,FGA,FG%,eFG%,FTFreq,TOFreq,SFFreq,And OneFreq,ScoreFreq,Percentile
Pascal Siakam,TOR,24,2,0.1,1.2%,0.00,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0%,50.0%,0.0%,0.0%,0.0%,
Antonio Blakeney,CHI,11,15,1.4,16.1%,0.67,10,0.9,4,0.4,11,1.0,36.4,36.4,13.3%,13.3%,13.3%,0.0%,40.0%,22.9
Kyle Korver,CLE,27,4,0.1,1.8%,0.00,0,0.0,0,0.0,3,0.1,0.0,0.0,0.0%,25.0%,0.0%,0.0%,0.0%,
Luke Babbitt,ATL,23,1,0.0,0.7%,0.00,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Willie Cauley-Stein,SAC,23,1,0.0,0.4%,0.00,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0%,100.0%,0.0%,0.0%,0.0%,
Nikola Jokic,DEN,21,3,0.1,1.0%,1.00,3,0.1,1,0.0,1,0.0,100.0,100.0,33.3%,33.3%,66.7%,33.3%,33.3%,
Karl-Anthony Towns,MIN,27,1,0.0,0.2%,0.00,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Ben McLemore,MEM,16,13,0.8,10.5%,1.23,16,1.0,6,0.4,9,0.6,66.7,77.8,7.7%,23.1%,7.7%,0.0%,53.8%,95.4
Jonas Jerebko,UTA,22,2,0.1,1.7%,0.00,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0%,50.0%,0.0%,0.0%,0.0%,
Jawun Evans,LAC,18,22,1.2,21.0%,0.73,16,0.9,7,0.4,17,0.9,41.2,47.1,0.0%,22.7%,0.0%,0.0%,31.8%,32.0
Dirk Nowitzki,DAL,27,1,0.0,0.3%,2.00,2,0.1,1,0.0,1,0.0,100.0,100.0,0.0%,0.0%,0.0%,0.0%,100.0%,
David West,GSW,26,1,0.0,0.6%,0.00,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0%,100.0%,0.0%,0.0%,0.0%,
Marcus Morris,BOS,16,14,0.9,7.0%,0.71,10,0.6,4,0.3,12,0.8,33.3,37.5,7.1%,7.1%,7.1%,0.0%,35.7%,28.7
Nemanja Bjelica,MIN,18,1,0.1,1.0%,0.00,0,0.0,0,0.0,1,0.1,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
