,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,FGM,FGA,FGM PG,FGA PG,FG%,GP RANK,W RANK,L RANK,MIN RANK,OFFRTG RANK,DEFRTG RANK,NETRTG RANK,AST% RANK,AST/TO RANK,AST Ratio RANK,OREB% RANK,DREB% RANK,REB% RANK,TO Ratio RANK,eFG% RANK,TS% RANK,USG% RANK,PACE RANK,PIE RANK,FGM RANK,FGA RANK,FGM PG RANK,FGA PG RANK,FG% RANK
,Kevin Love,CLE,29,27,19,8,29.2,110.9,111.4,-0.5,10.5,0.96,9.6,10.0,29.8,20.1,9.9,54.1,61.2,26.4,98.63,15.9
,Kyle Korver,CLE,36,28,20,8,22.5,114.7,101.4,13.4,6.4,1.38,10.7,0.6,9.1,5.2,7.8,65.4,67.6,17.0,100.14,9.1
,Jae Crowder,CLE,27,28,20,8,25.8,110.9,111.1,-0.3,5.7,1.07,10.2,3.5,10.2,6.9,9.5,47.3,53.3,15.8,98.94,5.0
,Iman Shumpert,CLE,27,13,9,4,20.8,108.3,103.0,5.3,8.6,1.00,17.4,3.0,12.5,8.1,17.4,44.7,48.7,13.0,100.88,5.1
,Derrick Rose,CLE,29,7,4,3,26.8,106.2,118.8,-12.6,10.2,0.63,9.7,4.2,7.2,5.6,15.4,48.8,54.2,25.1,104.15,6.5
,Ante Zizic,CLE,20,11,7,4,3.6,86.2,105.2,-19.0,5.3,0.50,5.9,12.2,21.1,16.5,11.7,36.4,46.2,18.7,100.06,9.4
,LeBron James,CLE,32,28,20,8,37.2,113.6,109.7,3.9,44.1,2.21,26.2,4.0,20.8,12.7,11.9,63.7,66.4,30.4,98.69,20.8
,Tristan Thompson,CLE,26,9,4,5,19.8,104.1,112.4,-8.3,2.3,0.50,7.7,10.6,22.2,16.2,15.4,60.0,58.6,8.8,100.11,6.6
,London Perrantes,CLE,23,1,1,0,2.6,50.0,189.1,-139.1,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,81.91,-19.0
,Jeff Green,CLE,31,28,20,8,21.8,110.8,103.7,7.2,10.3,1.50,13.2,4.8,13.0,9.2,8.8,54.4,60.0,20.7,99.67,10.6
,J.J. Barea,DAL,33,28,8,20,22.6,100.6,103.7,-3.2,41.6,2.65,29.1,1.2,13.9,7.4,11.0,52.3,55.0,26.1,97.84,14.2
,Dennis Smith Jr.,DAL,20,23,7,16,28.1,101.4,111.7,-10.3,25.2,1.37,18.0,3.3,13.1,8.0,13.1,44.5,46.4,29.6,98.21,7.8
,Salah Mejri,DAL,31,24,7,17,11.1,98.4,100.1,-1.7,6.6,1.00,15.3,10.9,25.5,18.1,15.3,70.0,67.8,10.6,95.38,11.6
,Maxi Kleber,DAL,25,22,6,16,17.6,104.2,103.9,0.4,3.6,1.13,7.7,6.7,15.7,10.9,6.9,59.9,60.9,12.9,95.30,7.7
,Dirk Nowitzki,DAL,39,28,8,20,25.0,105.0,108.1,-3.1,10.4,1.96,13.4,1.9,23.2,12.3,6.8,52.3,55.3,19.7,97.34,11.1
,Yogi Ferrell,DAL,24,28,8,20,28.3,100.9,99.6,1.3,12.3,1.69,18.0,1.0,10.3,5.5,10.6,51.1,54.9,15.9,97.49,7.3
,Dorian Finney-Smith,DAL,24,8,2,6,11.7,96.0,102.6,-6.6,9.1,0.71,14.3,4.9,5.9,5.3,20.1,56.8,56.8,13.9,96.69,2.0
,Devin Harris,DAL,34,22,8,14,18.8,110.0,97.3,12.7,15.4,2.00,18.2,2.2,9.4,5.9,9.1,46.3,53.3,21.6,98.03,7.3
,Dwight Powell,DAL,26,27,8,19,17.8,104.1,94.7,9.3,8.6,1.44,13.4,9.3,22.1,15.8,9.2,53.8,55.8,15.9,97.39,12.0
,Jeff Withey,DAL,27,8,2,6,4.5,106.3,83.7,22.6,0.0,0.00,0.0,2.9,24.2,13.4,11.8,42.9,43.7,20.3,102.14,7.5
,Antonius Cleveland,DAL,23,10,5,5,5.8,85.7,89.3,-3.6,5.4,1.00,11.3,3.6,11.7,7.8,11.3,33.3,36.3,12.1,101.21,4.4
,Harrison Barnes,DAL,25,28,8,20,35.1,99.7,110.4,-10.8,10.4,1.14,9.7,3.5,20.3,11.6,8.5,48.0,53.5,24.6,97.90,11.9
,Gian Clavell,DAL,24,7,0,7,9.1,105.1,91.7,13.4,7.1,1.50,12.6,1.7,11.1,6.2,8.4,50.0,53.0,15.0,100.02,4.5
,Nerlens Noel,DAL,23,18,4,14,12.5,93.0,115.7,-22.7,4.8,0.40,7.3,11.6,28.1,18.6,18.2,52.8,58.7,15.1,96.85,9.8
,Wesley Matthews,DAL,31,28,8,20,34.6,101.4,112.6,-11.2,12.8,1.93,17.9,1.0,9.4,5.0,9.3,52.3,54.3,17.0,97.57,6.6
,Torrey Craig,DEN,26,1,0,1,6.2,58.9,120.0,-61.1,0.0,0.00,0.0,0.0,12.5,6.3,0.0,0.0,0.0,7.2,84.93,0.0
,Malik Beasley,DEN,21,24,13,11,10.6,104.6,102.4,2.2,9.2,1.23,13.7,3.2,13.4,8.3,11.1,48.8,50.5,16.6,101.37,7.0
,Darrell Arthur,DEN,29,4,2,2,9.6,99.4,122.1,-22.7,3.6,0.14,4.8,2.7,12.5,7.2,33.3,26.9,26.9,22.9,104.09,-5.2
,Kenneth Faried,DEN,28,23,12,11,16.4,105.5,111.2,-5.7,5.2,0.67,7.4,14.2,22.1,18.0,11.1,58.4,61.8,17.0,97.91,11.9
,Mason Plumlee,DEN,27,27,15,12,18.3,106.4,107.7,-1.3,13.7,1.21,19.3,9.1,20.7,15.0,16.0,56.0,53.8,17.0,101.10,9.0
,Paul Millsap,DEN,32,16,9,7,29.7,109.1,104.6,4.5,16.1,1.52,15.9,5.7,17.9,11.8,10.5,49.5,53.1,24.2,98.82,11.0
,Jamal Murray,DEN,20,27,15,12,26.9,111.7,105.6,6.1,13.2,1.23,13.6,4.5,7.1,5.8,11.0,49.8,54.7,24.5,98.35,8.4
,Will Barton,DEN,26,27,15,12,31.4,106.8,109.3,-2.5,17.1,2.00,18.6,3.0,16.0,9.4,9.3,55.5,57.8,20.8,100.13,11.8
